Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete
6623ed811d5bbe90ed3efb65,Przygotowanie prezentacji projektowej,https://trello.com/c/WDDNFegK/53-przygotowanie-prezentacji-projektowej,"[https://docs.google.com/presentation/d/1SOD34gWziBA8F-zdjBkMPQ1Sat0Y777z/edit#slide=id.p1](https://docs.google.com/presentation/d/1SOD34gWziBA8F-zdjBkMPQ1Sat0Y777z/edit#slide=id.p1 ""‌"")",,"atychmanowicz, beatakoodziejszymanska",,0,,0,0,0,3,2024-04-22T20:45:57.803Z,661fdb0d099e32ab4abdb8a1,To Do,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
6623c534bff7b47994fcd8ee,Plan naprawczy,https://trello.com/c/CFHQpC2i/49-plan-naprawczy,Główne aspekty do poprawy na podstawie feedbacku Bartka,(red),"adamjaneta1, atychmanowicz, bartoszgrudzien2, beatakoodziejszymanska, beniaminsobczyk1, jakubkizyma, jakubkokoszkiewicz, joannabeszynska, kasiak92, krystiankiljanski, olgafurdyna",,0,,5,4,0,1,2024-04-22T17:05:54.962Z,661ecba6be18aac82ce5ca6c,In progress,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
6620fdd705c00c36a426dd7b,Authorized user/ Strona Categories,https://trello.com/c/IX0M6Ly4/26-authorized-user-strona-categories,"[Bug reports - Categories](https://docs.google.com/spreadsheets/d/1GNo7zzG10a4on4OMfqpG-Yf0eRKOuFMsXb4nWDH6ms0/edit?usp=sharing ""‌"")",,"adamjaneta1, atychmanowicz, krystiankiljanski",,0,,5,5,0,4,2024-04-21T17:57:25.551Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
6620f7108c89736737fc2963,Unauthorized user/Logowanie za pomocą formularza,https://trello.com/c/jrOeAZCU/22-unauthorized-user-logowanie-za-pomoc%C4%85-formularza,Weryfikacja procesu logowania/rejestracji do aplikacji z poziomu strony startowej,,"atychmanowicz, jakubkizyma",,0,,7,7,0,3,2024-04-20T18:57:50.572Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
6620fe1023498b64040f3979,Authorized user/Strona Add recipe,https://trello.com/c/N6Z6r6Cu/27-authorized-user-strona-add-recipe,,,"atychmanowicz, jakubkizyma, olgafurdyna",,0,,10,10,0,1,2024-04-20T18:56:32.716Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
6620fed30d06d48444ea8c4a,Authorized user/Strona wybranego przepisu,https://trello.com/c/4pfPqIue/29-authorized-user-strona-wybranego-przepisu,,,"adamjaneta1, jakubkokoszkiewicz",,0,,3,3,0,3,2024-04-20T18:56:41.832Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
6620fcc148d0f0955160406e,Authorized user/Nagłówek,https://trello.com/c/2PYpIb7o/24-authorized-user-nag%C5%82%C3%B3wek,,,"atychmanowicz, beniaminsobczyk1",,0,,6,6,0,4,2024-04-20T18:56:51.195Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
6620fe769752a674f17ac13f,Authorized user/Strona Favorites,https://trello.com/c/EA9EyFEm/28-authorized-user-strona-favorites,Weryfikacja działania wszelkich funkcjonalności w podstronie Favorites.,,"atychmanowicz, joannabeszynska",,0,,4,4,0,4,2024-04-23T10:33:56.265Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
6620ff26da7f1419c93bb891,Authorized user/Strona My recipes,https://trello.com/c/P6f30wg4/30-authorized-user-strona-my-recipes,,,"adamjaneta1, beatakoodziejszymanska, olgafurdyna",,0,,3,3,0,3,2024-04-20T18:57:02.022Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
6621004f075cdb6ef963dce3,Authorized user/Stopka,https://trello.com/c/dz4ZeHJM/33-authorized-user-stopka,,,"atychmanowicz, beatakoodziejszymanska, kasiak92",,0,,3,3,0,6,2024-04-20T18:57:09.088Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
6620f69389e6fb6e1e89846f,Unauthorized user/Strona Startowa,https://trello.com/c/eX3GmMbf/21-unauthorized-user-strona-startowa,Testy strony startowej dla nieautoryzowanego użytkownika,(orange_dark),"atychmanowicz, jakubkizyma",,1,https://trello.com/1/cards/6620f69389e6fb6e1e89846f/attachments/6622e33b865d585286109aba/download/image.png,1,1,0,4,2024-04-20T18:57:42.269Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
6620ffb4e7175e23278b0853,Authorized user/Strona Shopping list,https://trello.com/c/DztZlXJ8/32-authorized-user-strona-shopping-list,,,"adamjaneta1, kasiak92",,0,,2,2,0,2,2024-04-20T18:58:20.719Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
6620ff666ca224723a169baf,Authorized user/Strona Search,https://trello.com/c/Fia6BVWL/31-authorized-user-strona-search,,,"adamjaneta1, kasiak92",,0,,3,3,0,4,2024-04-20T18:58:14.336Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
662245fd04cdbec1a330af34,SMOKE TESTS,https://trello.com/c/pG0SPe7j/46-smoke-tests,,(purple),"adamjaneta1, atychmanowicz, beatakoodziejszymanska, beniaminsobczyk1, jakubkizyma, jakubkokoszkiewicz, joannabeszynska, kasiak92, krystiankiljanski, olgafurdyna",,0,,1,0,0,5,2024-04-22T10:46:39.036Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
662402229fdafe692d72b26d,Rozróżnienie testów ze względu na platformę [DESKTOP/MOBILE],https://trello.com/c/2ieYTYZo/54-rozr%C3%B3%C5%BCnienie-test%C3%B3w-ze-wzgl%C4%99du-na-platform%C4%99-desktop-mobile,'- puszczenie test run oddzielnie dla samego mobile - zaznaczenie tego w nazwie TR,(yellow_dark),"adamjaneta1, atychmanowicz, bartoszgrudzien2, beatakoodziejszymanska, beniaminsobczyk1, jakubkizyma, jakubkokoszkiewicz, joannabeszynska, kasiak92, krystiankiljanski, olgafurdyna",,0,,10,10,0,1,2024-04-22T17:15:47.429Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
66214d98d81048bbe397da34,TESTY STATYCZNE - specyfikacja,https://trello.com/c/aOUBPWmn/45-testy-statyczne-specyfikacja,"Testy statyczne specyfikacji technicznej aplikacji So Yummy [https://docs.google.com/spreadsheets/d/1-NXjZd4w8uBRL9lDsl424202Vl9LbWKRLZ4sgL3Hj7c/edit?pli=1#gid=0](https://docs.google.com/spreadsheets/d/1-NXjZd4w8uBRL9lDsl424202Vl9LbWKRLZ4sgL3Hj7c/edit?pli=1#gid=0 ""smartCard-inline"")

Plik w dostępny tu [https://docs.google.com/document/d/1eDU9FUgedlRuLrVSLFl_DUBhVtriziBX1c24QOgfmZA/edit?usp=sharing](https://docs.google.com/document/d/1eDU9FUgedlRuLrVSLFl_DUBhVtriziBX1c24QOgfmZA/edit?usp=sharing ""smartCard-inline"")",(purple),"atychmanowicz, kasiak92",,0,,3,3,0,4,2024-04-22T15:50:10.142Z,661ecbb3cd357d6a0e3a8b1d,DONE,661ec9eef8c1347aa4ced975,Masters of Disasters,false,,false
